Measurement,Node_1,Node_111,Node_222,Node_333,Node_444,Node_555,Node_666,Node_777,Node_888,Node_999,Node_1010,Node_1111
DISP_T1_Area,0.4986845701,0.4986880405,0.498712452,0.4987751481,0.498872661,0.499003228,0.4991657069,0.4993588752,0.4995809085,0.4998298296,0.5001029752,0.5003981449
DISP_T1_Frequency_1,4,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894
DISP_T1_DISP_1,0.3736286,0.3062487,0.3062542,0.3062678,0.3062878,0.3063128,0.3063414,0.3063725,0.3064051,0.3064386,0.3064725,0.3065064
DISP_T1_Frequency_2,4.10068,1377.501,235.822,247.8427,247.8427,253.4143,253.4143,253.4143,253.4143,253.4143,253.4143,253.4143
DISP_T1_DISP_2,0.3382647,3.885652e-11,4.416353e-08,1.691917e-07,4.938397e-07,1.968079e-06,4.197933e-06,7.645288e-06,1.244708e-05,1.864856e-05,2.622317e-05,3.511072e-05
DISP_T1_Frequency_3,4.203894,1633.995,278.7557,309.9838,1484.156,1484.156,1484.156,1484.156,1484.156,1484.156,1484.156,1484.156
DISP_T1_DISP_3,0.3062479,9.89964e-12,1.10164e-08,5.081641e-09,3.144303e-09,4.798734e-09,4.925289e-09,3.211868e-09,8.790449e-10,5.770598e-11,2.52927e-09,8.861611e-09
DISP_T2_Area,0,1.954758178e-18,2.973303727e-18,4.862499668e-18,1.459907194e-16,1.020148215e-17,4.891820167e-17,5.126877915e-18,2.53221537e-17,5.616718174e-18,8.889886181e-17,2.983643342e-18
DISP_T2_Frequency_1,4,4,4,4,4,4,4,4,4,4,4,4
DISP_T2_DISP_1,0,1.464558e-18,2.227684e-18,3.643107e-18,1.093803e-16,7.643196e-18,3.665095e-17,3.841161e-18,1.897214e-17,4.208248e-18,6.660568e-17,2.235381e-18
DISP_T2_Frequency_2,1950.896,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068
DISP_T2_DISP_2,0,1.325938e-18,2.016834e-18,3.298287e-18,9.902748e-17,6.919768e-18,3.318193e-17,3.477596e-18,1.717643e-17,3.809936e-18,6.030145e-17,2.023803e-18
DISP_T2_Frequency_3,2000,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894
DISP_T2_DISP_3,0,1.200438e-18,1.82594e-18,2.986104e-18,8.965452e-17,6.264813e-18,3.004126e-17,3.148442e-18,1.555067e-17,3.449325e-18,5.459391e-17,1.832251e-18
DISP_T3_Area,0,3.252157497e-16,1.675564781e-16,2.324184511e-17,1.758223471e-16,3.769371199e-17,5.827265788e-17,2.139410762e-16,9.005960332e-18,2.197392719e-16,1.096957673e-16,1.11315507e-16
DISP_T3_Frequency_1,4,4,4,4,4,4,4,4,4,4,4,4
DISP_T3_DISP_1,0,2.436605e-16,1.255379e-16,1.741342e-17,1.317309e-16,2.824116e-17,4.365947e-17,1.602905e-16,6.747512e-18,1.646347e-16,8.218708e-17,8.340063e-17
DISP_T3_Frequency_2,1950.896,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068
DISP_T3_DISP_2,0,2.20598e-16,1.136557e-16,1.576524e-17,1.192626e-16,2.556813e-17,3.95271e-17,1.45119e-16,6.10886e-18,1.49052e-16,7.440807e-17,7.550676e-17
DISP_T3_Frequency_3,2000,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894
DISP_T3_DISP_3,0,1.997184e-16,1.028982e-16,1.427306e-17,1.079744e-16,2.314811e-17,3.578586e-17,1.313835e-16,5.530656e-18,1.349442e-16,6.736534e-17,6.836004e-17
DISP_R1_Area,0,1.03472366e-20,3.509499361e-23,3.393692583e-22,1.991262848e-20,8.306129793e-21,2.950728604e-22,1.226151472e-21,2.570675196e-21,8.804929038e-21,9.623249736e-21,1.389601575e-20
DISP_R1_Frequency_1,4,4,4,4,4,4,4,4,4,4,4,4
DISP_R1_DISP_1,0,7.75243e-21,2.629397e-23,2.542652e-22,1.491908e-20,6.223177e-21,2.210762e-22,9.186653e-22,1.926019e-21,6.596891e-21,7.209999e-21,1.041127e-20
DISP_R1_Frequency_2,1950.896,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068
DISP_R1_DISP_2,0,7.018662e-21,2.380525e-23,2.30199e-22,1.350699e-20,5.634153e-21,2.001513e-22,8.317136e-22,1.743721e-21,5.972495e-21,6.527572e-21,9.425844e-21
DISP_R1_Frequency_3,2000,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894
DISP_R1_DISP_3,0,6.354346e-21,2.155208e-23,2.084107e-22,1.222855e-20,5.100881e-21,1.81207e-22,7.529919e-22,1.578678e-21,5.407198e-21,5.909738e-21,8.533688e-21
DISP_R2_Area,0,1.055618017e-15,6.160963568e-11,2.077029311e-10,3.919057174e-10,5.806256858e-10,7.511421093e-10,8.892240962e-10,9.87602472e-10,1.045823988e-09,1.070719825e-09,1.076155756e-09
DISP_R2_Frequency_1,4,4.203894,253.4143,253.4143,253.4143,4.203894,253.4143,253.4143,253.4143,253.4143,253.4143,253.4143
DISP_R2_DISP_1,0,1.237024e-19,3.664971e-12,1.253199e-11,2.389159e-11,5.758965e-14,4.60483e-11,5.431698e-11,6.000899e-11,6.325384e-11,6.459508e-11,6.48801e-11
DISP_R2_Frequency_2,1950.896,253.4143,254.0809,254.0809,254.0809,253.4143,1484.156,254.0809,254.0809,254.0809,254.0809,254.0809
DISP_R2_DISP_2,0,6.177441e-17,3.580645e-12,1.224762e-11,2.335619e-11,3.558587e-11,3.660503e-15,5.313231e-11,5.870684e-11,6.188556e-11,6.319978e-11,6.347913e-11
DISP_R2_Frequency_3,2000,1484.156,1484.156,1485.45,1485.45,1485.45,1935.871,1484.156,1484.156,1484.156,1484.156,1484.156
DISP_R2_DISP_3,0,5.081387e-19,1.962489e-14,3.612983e-14,2.567094e-14,4.773174e-15,1.089468e-17,3.817511e-14,9.748295e-14,1.541971e-13,1.865402e-13,1.949699e-13
DISP_R3_Area,0,4.476999445e-27,7.576829511e-22,3.815163943e-21,1.09919202e-20,2.269875236e-20,3.655553756e-20,5.011277086e-20,6.061404408e-20,6.658566348e-20,6.73026354e-20,6.382786171e-20
DISP_R3_Frequency_1,4,4,4,4,4,4,4,4,4,4,4,4
DISP_R3_DISP_1,0,3.354288e-27,5.676765e-22,2.858424e-21,8.235444e-21,1.700652e-20,2.73884e-20,3.754585e-20,4.541368e-20,4.988779e-20,5.042496e-20,4.782156e-20
DISP_R3_Frequency_2,1950.896,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068,4.10068
DISP_R3_DISP_2,0,3.036805e-27,5.139459e-22,2.587874e-21,7.455959e-21,1.539685e-20,2.479609e-20,3.399213e-20,4.111528e-20,4.516591e-20,4.565223e-20,4.329525e-20
DISP_R3_Frequency_3,2000,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894
DISP_R3_DISP_3,0,2.749371e-27,4.653009e-22,2.342932e-21,6.750252e-21,1.393954e-20,2.244914e-20,3.077478e-20,3.722372e-20,4.089095e-20,4.133125e-20,3.919736e-20
