Measurement,Node_1,Node_111,Node_222,Node_333,Node_444,Node_555,Node_666,Node_777,Node_888,Node_999,Node_1010,Node_1111
ACCE_T1_Area,297550107.2,301365917.9,451822864.8,979825659.4,1536717608,1755502670,1484017554,906018601.6,477088881,713938928.2,1966734091,4319066230
ACCE_T1_Frequency_1,41.38784,58.61585,61.6037,61.6037,62.55404,62.55404,62.55404,62.55404,62.55404,62.55404,62.55404,62.55404
ACCE_T1_PSD_1,149073.2,149500,1799480,5848681,17699920,31861500,50396510,73365170,100789400,132662300,168959700,209654100
ACCE_T1_Frequency_2,43.49752,1047.942,1101.359,1101.359,1101.359,63.15426,63.15426,63.15426,1102.351,63.15426,63.15426,63.15426
ACCE_T1_PSD_2,149073.2,183939.1,4034282,12617270,20747310,24761930,39704840,58325380,829892.2,106653100,136336000,169669200
ACCE_T1_Frequency_3,2000,1935.871,1935.871,1935.871,1102.351,1101.359,1102.351,1102.351,1935.871,1101.359,1101.359,1102.351
ACCE_T1_PSD_3,149073.2,155112.1,71646.38,16804.32,20733060,23230610,18206170,8521824,12860.69,2436198,18170030,49222290
ACCE_T2_Area,0,0.02427266727,0.01917459095,0.03422493574,0.1274470963,0.0002297262568,0.1714453335,0.07422184302,0.05569108395,0.199420227,0.002736771262,0.2979108539
ACCE_T2_Frequency_1,41.38784,1935.871,56.29864,61.6037,61.6037,62.55404,55.77291,55.77291,62.55404,62.55404,62.55404,55.77291
ACCE_T2_PSD_1,0,8.699438e-05,1.240465e-16,3.246107e-15,9.193129e-15,2.019861e-14,6.462282e-16,2.539898e-16,5.812957e-14,7.245645e-14,1.05055e-13,9.706046e-16
ACCE_T2_Frequency_2,43.49752,1950.896,64.74385,1935.871,1935.871,1935.871,63.15426,63.15426,1935.871,1935.871,1935.871,63.15426
ACCE_T2_PSD_2,0,9.297639e-05,6.028086e-16,0.0001252575,0.0004595077,9.806507e-07,3.553169e-14,4.199181e-14,0.0002030571,0.0007235478,9.8421e-06,1.249674e-13
ACCE_T2_Frequency_3,2000,2000,1935.871,2000,2000,2000,1935.871,1935.871,2000,2000,2000,1935.871
ACCE_T2_PSD_3,0,0.000115205,6.79295e-05,0.00016793,0.0006105558,1.445232e-06,0.0006226351,0.000267832,0.0002716262,0.0009650319,1.305745e-05,0.001081983
ACCE_T3_Area,0,5.942574928e-13,6.661805683e-13,1.778588282e-13,4.342716064e-15,3.249466482e-13,4.764242364e-14,3.559781604e-17,1.724930782e-13,3.338664236e-13,2.450241876e-16,1.764304965e-16
ACCE_T3_Frequency_1,41.38784,1935.871,1935.871,1935.871,54.40357,1935.871,1935.871,62.55404,60.09121,1935.871,62.55404,62.55404
ACCE_T3_PSD_1,0,1.359027e-15,1.542509e-15,4.051504e-16,2.505175e-24,7.479156e-16,1.102207e-16,4.047033e-23,5.201696e-22,7.698794e-16,2.242857e-22,1.877089e-22
ACCE_T3_Frequency_2,43.49752,1950.896,1950.896,1950.896,64.74385,1950.896,1950.896,1935.871,1935.871,1950.896,1935.871,1935.871
ACCE_T3_PSD_2,0,1.405727e-15,1.596931e-15,4.189495e-16,2.819161e-23,7.739847e-16,1.140997e-16,6.307239e-20,3.955619e-16,7.968193e-16,6.027234e-19,4.390053e-19
ACCE_T3_Frequency_3,2000,2000,2000,2000,1935.871,2000,2000,2000,2000,2000,2000,2000
ACCE_T3_PSD_3,0,1.567547e-15,1.786054e-15,4.667165e-16,1.030427e-17,8.644665e-16,1.275747e-16,6.724218e-20,4.56627e-16,8.903637e-16,7.127785e-19,5.212163e-19
ACCE_R1_Area,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R1_Frequency_1,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R1_PSD_1,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R1_Frequency_2,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R1_PSD_2,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R1_Frequency_3,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R1_PSD_3,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R2_Area,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R2_Frequency_1,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R2_PSD_1,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R2_Frequency_2,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R2_PSD_2,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R2_Frequency_3,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R2_PSD_3,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R3_Area,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R3_Frequency_1,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R3_PSD_1,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R3_Frequency_2,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R3_PSD_2,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R3_Frequency_3,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R3_PSD_3,0,0,0,0,0,0,0,0,0,0,0,0
