Measurement,Node_1,Node_111,Node_222,Node_333,Node_444,Node_555,Node_666,Node_777,Node_888,Node_999,Node_1010,Node_1111
ACCE_T1_Area,297550107.2,311256287.9,436470434.3,1099722170,2382212370,3609439121,3904502741,3058751353,1924930431,1998280581,4532655195,9925288453
ACCE_T1_Frequency_1,4,235.822,247.8427,247.8427,253.4143,253.4143,253.4143,253.4143,253.4143,253.4143,253.4143,253.4143
ACCE_T1_PSD_1,149073.2,154668.9,304991.9,994953.4,4684352,12649870,26982310,49140270,80003870,119864000,168550000,225674900
ACCE_T1_Frequency_2,1950.896,1447.717,1447.717,1484.156,1484.156,1484.156,1484.156,254.0809,254.0809,1484.156,254.0809,254.0809
ACCE_T1_PSD_2,149073.2,308109.1,1244404,9632553,23777250,36288070,37245080,47853510,78163630,436373.1,165285400,221551900
ACCE_T1_Frequency_3,2000,1935.871,1935.871,1935.871,1485.45,1485.45,1485.45,1485.45,1485.45,1935.871,1484.156,1485.45
ACCE_T1_PSD_3,149073.2,142219.7,87393.27,12700.24,23725580,36288090,37292700,24343030,6672098,227.3432,19126360,67110080
ACCE_T2_Area,0,1.241093805e-09,1.907031154e-09,3.074735654e-09,9.269823924e-08,6.476274886e-09,3.101348704e-08,3.259520714e-09,1.610517691e-08,3.59079664e-09,5.645713155e-08,1.90880225e-09
ACCE_T2_Frequency_1,4,1935.871,66.37346,58.61585,66.37346,58.61585,66.37346,58.61585,66.37346,66.37346,66.37346,58.61585
ACCE_T2_PSD_1,0,6.944536e-13,8.907537e-13,1.457425e-12,4.368704e-11,3.060807e-12,1.466248e-11,1.544467e-12,7.608283e-12,1.699503e-12,2.667006e-11,9.071187e-13
ACCE_T2_Frequency_2,1950.896,1950.896,1935.871,1935.871,1935.871,1935.871,1935.871,273.7534,247.8427,241.7576,247.8427,273.7534
ACCE_T2_PSD_2,0,6.964089e-13,1.08511e-12,1.709753e-12,5.187241e-11,3.627095e-12,1.730546e-11,1.536963e-12,7.600253e-12,1.688214e-12,2.666982e-11,8.94072e-13
ACCE_T2_Frequency_3,2000,2000,2000,2000,2000,2000,2000,1935.871,1935.871,1935.871,1935.871,1935.871
ACCE_T2_PSD_3,0,7.029643e-13,1.10045e-12,1.729529e-12,5.250929e-11,3.672073e-12,1.751273e-11,1.831219e-12,9.030237e-12,2.028298e-12,3.158893e-11,1.086371e-12
ACCE_T3_Area,0,2.080335034e-07,1.066176233e-07,1.493718255e-08,1.114094048e-07,2.38392801e-08,3.676750747e-08,1.361623697e-07,5.697218845e-09,1.396989017e-07,6.933882117e-08,7.03644216e-08
ACCE_T3_Frequency_1,4,1935.871,1935.871,1935.871,1935.871,1935.871,1935.871,1935.871,1935.871,1935.871,1935.871,1935.871
ACCE_T3_PSD_1,0,1.178665e-10,5.988554e-11,8.526967e-12,6.215399e-11,1.32537e-11,2.036234e-11,7.651324e-11,3.170812e-12,7.836616e-11,3.852238e-11,3.909382e-11
ACCE_T3_Frequency_2,1950.896,1950.896,1950.896,1950.896,1950.896,1950.896,1950.896,1950.896,1950.896,1950.896,1950.896,1950.896
ACCE_T3_PSD_2,0,1.182353e-10,6.006014e-11,8.555176e-12,6.232523e-11,1.328892e-11,2.041458e-11,7.673734e-11,3.179404e-12,7.859271e-11,3.86244e-11,3.919739e-11
ACCE_T3_Frequency_3,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
ACCE_T3_PSD_3,0,1.194719e-10,6.064563e-11,8.649781e-12,6.289954e-11,1.3407e-11,2.058971e-11,7.74889e-11,3.208233e-12,7.935257e-11,3.896649e-11,3.954469e-11
ACCE_R1_Area,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R1_Frequency_1,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R1_PSD_1,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R1_Frequency_2,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R1_PSD_2,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R1_Frequency_3,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R1_PSD_3,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R2_Area,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R2_Frequency_1,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R2_PSD_1,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R2_Frequency_2,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R2_PSD_2,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R2_Frequency_3,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R2_PSD_3,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R3_Area,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R3_Frequency_1,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R3_PSD_1,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R3_Frequency_2,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R3_PSD_2,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R3_Frequency_3,0,0,0,0,0,0,0,0,0,0,0,0
ACCE_R3_PSD_3,0,0,0,0,0,0,0,0,0,0,0,0
